variant,label,group,pm_rmse_h1,pm_rmse_h7,pm_rmse_h10,pm_rmse_h14,pm_rmse_h30,delta_pm_rmse_h30,delta_pm_rmse_pct_h30,pm_mae_h30,raw_chi_rmse_h30
baseline,Full baseline,baseline,0.1012227717545851,1.2354896447278862,1.7530134914891835,2.335092664514647,4.288892707025462,0.0,0.0,2.962714911761725,32.10962240553695
forecast_off,Future off,forecast,0.0937736096849755,1.2405552938207625,1.7730127219404228,2.373222779627709,4.384268661220465,0.09537595419500278,2.223789698417293,2.997303433777481,32.408038914187536
forecast_7d,Future 7 d,forecast,0.1018141801069286,1.2412758321511224,1.7684011839748408,2.372249904620151,4.444994873043135,0.15610216601767313,3.639684568512718,3.040749550805585,32.83392815817781
no_eam,No EAM,forecast,0.1132153801246343,1.270461246679685,1.8158303026863127,2.452690090990027,4.50482598437255,0.21593327734708812,5.034709238432954,3.057095957279784,32.276750782998064
no_aam,No AAM,leave_one_out,0.0979158540234165,1.235971215204671,1.756133442390634,2.346297357711795,4.249889267694146,-0.03900343933131545,-0.909405806944657,2.936989608325844,32.335912773490044
no_oam,No OAM,leave_one_out,0.094594545457405,1.2137758197061017,1.7318745144397547,2.318460452271759,4.24502865701183,-0.043864050013631584,-1.0227360069367009,2.91961009467318,32.019094756409864
no_ham,No HAM,leave_one_out,0.1034147627376653,1.2563743365633362,1.7827847460534092,2.3752275173733803,4.374876985930941,0.085984278905479,2.0048130083700073,2.978669476081334,32.08073215223794
no_slam,No SLAM,leave_one_out,0.1055557855947109,1.2377067282685796,1.756033640642628,2.3312587201004398,4.249939158853553,-0.03895354817190899,-0.9082425426054785,2.935595951750528,32.2214187670828
aam_only,AAM only,single_family,0.0978691108870135,1.227879990194472,1.7508984611295244,2.346619383674889,4.294604868463551,0.0057121614380895025,0.13318499268430384,2.9486702372947917,31.86254884745306
oam_only,OAM only,single_family,0.0992582609144398,1.232870386578902,1.7503651812849246,2.3440795760196584,4.26583188739916,-0.02306081962630202,-0.5376870255701903,2.9351410128523825,31.77779309982671
ham_only,HAM only,single_family,0.0949247919089526,1.2256286517676471,1.7445839956221836,2.335986582966017,4.270357138650367,-0.018535568375094513,-0.4321760799642329,2.9263958103269614,31.98911329339112
slam_only,SLAM only,single_family,0.1058140790890675,1.2625310639574905,1.80330722183183,2.4290557457848245,4.506543781617171,0.21765107459170885,5.074761470138514,3.0724671658084244,32.268480799260466
