variant,label,group,horizon_days,pm_rmse,delta_pm_rmse,delta_pm_rmse_pct,pm_mae_h30,raw_chi_rmse_h30,samples
baseline,Full baseline,baseline,1,0.1012227717545851,0.0,0.0,2.962714911761725,32.10962240553695,309
baseline,Full baseline,baseline,7,1.2354896447278862,0.0,0.0,2.962714911761725,32.10962240553695,309
baseline,Full baseline,baseline,10,1.7530134914891835,0.0,0.0,2.962714911761725,32.10962240553695,309
baseline,Full baseline,baseline,14,2.335092664514647,0.0,0.0,2.962714911761725,32.10962240553695,309
baseline,Full baseline,baseline,30,4.288892707025462,0.0,0.0,2.962714911761725,32.10962240553695,309
forecast_off,Future off,forecast,1,0.0937736096849755,-0.007449162069609605,-7.359176142370533,2.997303433777481,32.408038914187536,309
forecast_off,Future off,forecast,7,1.2405552938207625,0.005065649092876212,0.41001145695493946,2.997303433777481,32.408038914187536,309
forecast_off,Future off,forecast,10,1.7730127219404228,0.019999230451239303,1.1408486328448033,2.997303433777481,32.408038914187536,309
forecast_off,Future off,forecast,14,2.373222779627709,0.03813011511306197,1.632916572969809,2.997303433777481,32.408038914187536,309
forecast_off,Future off,forecast,30,4.384268661220465,0.09537595419500278,2.223789698417293,2.997303433777481,32.408038914187536,309
forecast_7d,Future 7 d,forecast,1,0.1018141801069286,0.0005914083523434893,0.5842641355221536,3.040749550805585,32.83392815817781,309
forecast_7d,Future 7 d,forecast,7,1.2412758321511224,0.005786187423236111,0.4683315192423572,3.040749550805585,32.83392815817781,309
forecast_7d,Future 7 d,forecast,10,1.7684011839748408,0.0153876924856573,0.8777851716694701,3.040749550805585,32.83392815817781,309
forecast_7d,Future 7 d,forecast,14,2.372249904620151,0.03715724010550403,1.591253343825104,3.040749550805585,32.83392815817781,309
forecast_7d,Future 7 d,forecast,30,4.444994873043135,0.15610216601767313,3.639684568512718,3.040749550805585,32.83392815817781,309
no_eam,No EAM,forecast,1,0.1132153801246343,0.011992608370049188,11.847737581347111,3.057095957279784,32.276750782998064,309
no_eam,No EAM,forecast,7,1.270461246679685,0.034971601951798714,2.8305864076668263,3.057095957279784,32.276750782998064,309
no_eam,No EAM,forecast,10,1.8158303026863127,0.06281681119712923,3.5833615372672574,3.057095957279784,32.276750782998064,309
no_eam,No EAM,forecast,14,2.452690090990027,0.1175974264753803,5.036092496989756,3.057095957279784,32.276750782998064,309
no_eam,No EAM,forecast,30,4.50482598437255,0.21593327734708812,5.034709238432954,3.057095957279784,32.276750782998064,309
no_aam,No AAM,leave_one_out,1,0.0979158540234165,-0.0033069177311686043,-3.266970143028918,2.936989608325844,32.335912773490044,309
no_aam,No AAM,leave_one_out,7,1.235971215204671,0.00048157047678465403,0.0389781070881188,2.936989608325844,32.335912773490044,309
no_aam,No AAM,leave_one_out,10,1.756133442390634,0.0031199509014505633,0.1779764341003541,2.936989608325844,32.335912773490044,309
no_aam,No AAM,leave_one_out,14,2.346297357711795,0.011204693197148341,0.47983933860189043,2.936989608325844,32.335912773490044,309
no_aam,No AAM,leave_one_out,30,4.249889267694146,-0.03900343933131545,-0.909405806944657,2.936989608325844,32.335912773490044,309
