variant,label,family,preferred,horizon_day,pm_rmse,pm_mae,delta_pm_rmse,delta_pm_rmse_pct,metrics_json
no_rope_sinusoidal,No RoPE,position,True,14,2.3846253435655114,1.5980251498944056,0.049532742363606275,2.1212324658178896,results_pm7_ablation_20260531_2257\model_ablation\chiformer_joint_d128_doy8_EAM_a-o-h-s_fObsEAM_fEAMQ0_noRoPEposSin_TIN_varEmb_tgtQ_axisBias_KV_sh_1_curH8-16-24-30_P_8_360_30_fi_0_pm_7\test\test_metrics.json
no_rope_sinusoidal,No RoPE,position,True,30,4.326725848850127,2.961925039501879,0.037833155438346644,0.8821194220238388,results_pm7_ablation_20260531_2257\model_ablation\chiformer_joint_d128_doy8_EAM_a-o-h-s_fObsEAM_fEAMQ0_noRoPEposSin_TIN_varEmb_tgtQ_axisBias_KV_sh_1_curH8-16-24-30_P_8_360_30_fi_0_pm_7\test\test_metrics.json
no_axis_bias_only,No axis-aware bias,attention,True,1,0.10057261270947186,0.07983392626529373,-0.000650161544673844,-0.6423075730383034,results_pm7_ablation_20260531_2257\model_ablation\chiformer_joint_d128_doy8_EAM_a-o-h-s_fObsEAM_fEAMQ0_TIN_varEmb_tgtQ_noAxisBias_KV_sh_1_curH8-16-24-30_P_8_360_30_fi_0_pm_7_abmodel_no_axis_bias_only\test\test_metrics.json
no_axis_bias_only,No axis-aware bias,attention,True,7,1.2313938309986583,0.8102144225984054,-0.004095768489550622,-0.3315097505674883,results_pm7_ablation_20260531_2257\model_ablation\chiformer_joint_d128_doy8_EAM_a-o-h-s_fObsEAM_fEAMQ0_TIN_varEmb_tgtQ_noAxisBias_KV_sh_1_curH8-16-24-30_P_8_360_30_fi_0_pm_7_abmodel_no_axis_bias_only\test\test_metrics.json
no_axis_bias_only,No axis-aware bias,attention,True,10,1.7523652986733975,1.16661190046751,-0.0006481642439291058,-0.03697428785575012,results_pm7_ablation_20260531_2257\model_ablation\chiformer_joint_d128_doy8_EAM_a-o-h-s_fObsEAM_fEAMQ0_TIN_varEmb_tgtQ_noAxisBias_KV_sh_1_curH8-16-24-30_P_8_360_30_fi_0_pm_7_abmodel_no_axis_bias_only\test\test_metrics.json
no_axis_bias_only,No axis-aware bias,attention,True,14,2.3469758018204745,1.573659504581651,0.0118832006185694,0.5088963329528323,results_pm7_ablation_20260531_2257\model_ablation\chiformer_joint_d128_doy8_EAM_a-o-h-s_fObsEAM_fEAMQ0_TIN_varEmb_tgtQ_noAxisBias_KV_sh_1_curH8-16-24-30_P_8_360_30_fi_0_pm_7_abmodel_no_axis_bias_only\test\test_metrics.json
no_axis_bias_only,No axis-aware bias,attention,True,30,4.33980770600015,2.9877873456678246,0.05091501258837017,1.1871365461435146,results_pm7_ablation_20260531_2257\model_ablation\chiformer_joint_d128_doy8_EAM_a-o-h-s_fObsEAM_fEAMQ0_TIN_varEmb_tgtQ_noAxisBias_KV_sh_1_curH8-16-24-30_P_8_360_30_fi_0_pm_7_abmodel_no_axis_bias_only\test\test_metrics.json
no_future_aware_shift,No KV shift,attention,True,1,0.10215468851146384,0.08139685495578741,0.000931914257318131,0.9206567041704682,results_pm7_ablation_20260531_2257\model_ablation\chiformer_joint_d128_doy8_EAM_a-o-h-s_fObsEAM_fEAMQ0_TIN_varEmb_tgtQ_axisBias_KV_sh_0_curH8-16-24-30_P_8_360_30_fi_0_pm_7_abmodel_no_future_aware_shift\test\test_metrics.json
no_future_aware_shift,No KV shift,attention,True,7,1.2359092886351104,0.8156127534217709,0.00041968914690149184,0.03396946012943731,results_pm7_ablation_20260531_2257\model_ablation\chiformer_joint_d128_doy8_EAM_a-o-h-s_fObsEAM_fEAMQ0_TIN_varEmb_tgtQ_axisBias_KV_sh_0_curH8-16-24-30_P_8_360_30_fi_0_pm_7_abmodel_no_future_aware_shift\test\test_metrics.json
no_future_aware_shift,No KV shift,attention,True,10,1.7544415522008934,1.1699908903115777,0.001428089283566747,0.08146482122220282,results_pm7_ablation_20260531_2257\model_ablation\chiformer_joint_d128_doy8_EAM_a-o-h-s_fObsEAM_fEAMQ0_TIN_varEmb_tgtQ_axisBias_KV_sh_0_curH8-16-24-30_P_8_360_30_fi_0_pm_7_abmodel_no_future_aware_shift\test\test_metrics.json
no_future_aware_shift,No KV shift,attention,True,14,2.3444179078820855,1.5781058507971035,0.00932530668018039,0.39935489819035536,results_pm7_ablation_20260531_2257\model_ablation\chiformer_joint_d128_doy8_EAM_a-o-h-s_fObsEAM_fEAMQ0_TIN_varEmb_tgtQ_axisBias_KV_sh_0_curH8-16-24-30_P_8_360_30_fi_0_pm_7_abmodel_no_future_aware_shift\test\test_metrics.json
no_future_aware_shift,No KV shift,attention,True,30,4.366146742640454,3.010442658764548,0.07725404922867352,1.8012586173429892,results_pm7_ablation_20260531_2257\model_ablation\chiformer_joint_d128_doy8_EAM_a-o-h-s_fObsEAM_fEAMQ0_TIN_varEmb_tgtQ_axisBias_KV_sh_0_curH8-16-24-30_P_8_360_30_fi_0_pm_7_abmodel_no_future_aware_shift\test\test_metrics.json
no_cva_no_var_emb,No attention across variables,attention,True,1,0.1508325497540298,0.11946709849494946,0.04960977549988409,49.01048787234979,results_pm7_ablation_20260531_2257\model_ablation\chiformer_joint_d128_doy8_EAM_a-o-h-s_fObsEAM_fEAMQ0_noCVA_TIN_noVarEmb_tgtQ_axisBias_KV_sh_1_curH8-16-24-30_P_8_360_30_fi_0_pm_7\test\test_metrics.json
no_cva_no_var_emb,No attention across variables,attention,True,7,1.2968974297972342,0.8701507985028704,0.0614078303090253,4.970323532829655,results_pm7_ablation_20260531_2257\model_ablation\chiformer_joint_d128_doy8_EAM_a-o-h-s_fObsEAM_fEAMQ0_noCVA_TIN_noVarEmb_tgtQ_axisBias_KV_sh_1_curH8-16-24-30_P_8_360_30_fi_0_pm_7\test\test_metrics.json
no_cva_no_var_emb,No attention across variables,attention,True,10,1.8124777956584386,1.2228236768364569,0.05946433274111196,3.392120710935826,results_pm7_ablation_20260531_2257\model_ablation\chiformer_joint_d128_doy8_EAM_a-o-h-s_fObsEAM_fEAMQ0_noCVA_TIN_noVarEmb_tgtQ_axisBias_KV_sh_1_curH8-16-24-30_P_8_360_30_fi_0_pm_7\test\test_metrics.json
no_cva_no_var_emb,No attention across variables,attention,True,14,2.424157931465282,1.6316847615764216,0.08906533026337682,3.8142097755580933,results_pm7_ablation_20260531_2257\model_ablation\chiformer_joint_d128_doy8_EAM_a-o-h-s_fObsEAM_fEAMQ0_noCVA_TIN_noVarEmb_tgtQ_axisBias_KV_sh_1_curH8-16-24-30_P_8_360_30_fi_0_pm_7\test\test_metrics.json
no_cva_no_var_emb,No attention across variables,attention,True,30,4.385175719770726,3.0191706116439847,0.09628302635894581,2.2449390376879172,results_pm7_ablation_20260531_2257\model_ablation\chiformer_joint_d128_doy8_EAM_a-o-h-s_fObsEAM_fEAMQ0_noCVA_TIN_noVarEmb_tgtQ_axisBias_KV_sh_1_curH8-16-24-30_P_8_360_30_fi_0_pm_7\test\test_metrics.json
