family,attention_enrichment_mean,attention_enrichment_min,attention_enrichment_max,target_count,mean_abs_delta_pm,median_abs_delta_pm,ci_low,ci_high,display_q05,display_q25,display_q75,display_q95,n,rmse_delta,attention_score_norm,masking_score_norm,attention_rank,masking_rank,rank_gap
AAM,1.7215122406795498,1.6330312643751723,1.8099932169839275,2,0.4925302962944345,0.4054769277572632,0.1031713850796222,1.2503121733665468,0.11848079562187193,0.239584282040596,0.694619357585907,1.066853594779968,309,0.112851136559243,1.0,1.0,1,1,0
OAM,1.1495584874674325,1.0802840105632547,1.21883296437161,2,0.25898235561296,0.2242865264415741,0.0547969438135623,0.6714358031749726,0.06712664216756818,0.1349620819091797,0.3403373658657074,0.5523336529731747,309,0.0072805950611005,0.6677608560097462,0.5258201527122718,2,2,0
HAM,0.42920977893358037,0.428668887628844,0.4297506702383168,2,0.2007801797373587,0.1678614318370819,0.038168080151081,0.4964125454425812,0.045709712803363764,0.1033475846052169,0.2805424928665161,0.46932226419448836,309,0.0651348303636396,0.24932136338696848,0.40765041510732236,4,3,1
SLAM,0.699719492919436,0.6799721022145004,0.7194668836243716,2,0.0562372453055648,0.0466218329966068,0.0125474678352474,0.1508279412984848,0.01625030525028702,0.0320114120841026,0.0717318207025528,0.12681234478950484,309,0.0062036977614896,0.4064562983550025,0.11418027627674336,3,4,1
