family,lag_days,autocorr_x,autocorr_y,mean_abs_autocorr,abs_autocorr_x,abs_autocorr_y
GAM,0,1.0,1.0,1.0,1.0,1.0
GAM,5,0.2882430251846393,0.4179061406366984,0.3530745829106688,0.2882430251846393,0.4179061406366984
GAM,10,0.2915277747051578,0.3679106386576017,0.3297192066813798,0.2915277747051578,0.3679106386576017
GAM,15,0.3302863692862269,0.339025520018331,0.334655944652279,0.3302863692862269,0.339025520018331
GAM,20,0.2512731514980758,0.2668597337356738,0.2590664426168748,0.2512731514980758,0.2668597337356738
GAM,25,0.2481731494466318,0.2393249249688014,0.2437490372077166,0.2481731494466318,0.2393249249688014
GAM,30,0.2404151927665727,0.2218176974658623,0.2311164451162175,0.2404151927665727,0.2218176974658623
GAM,35,0.2721968370452491,0.2264506873934647,0.2493237622193569,0.2721968370452491,0.2264506873934647
GAM,40,0.279594243514779,0.2286440498790379,0.2541191466969085,0.279594243514779,0.2286440498790379
GAM,45,0.2639892315320988,0.2081987811754694,0.2360940063537841,0.2639892315320988,0.2081987811754694
GAM,50,0.2387807899744956,0.2289849335467817,0.2338828617606387,0.2387807899744956,0.2289849335467817
GAM,55,0.2030871973181921,0.1878878629980607,0.1954875301581264,0.2030871973181921,0.1878878629980607
GAM,60,0.1771411355374424,0.1472500376651789,0.1621955866013107,0.1771411355374424,0.1472500376651789
GAM,65,0.1848327437555204,0.1274630505056279,0.1561478971305742,0.1848327437555204,0.1274630505056279
GAM,70,0.217807050526938,0.0930798633154115,0.1554434569211748,0.217807050526938,0.0930798633154115
GAM,75,0.1245920701720266,0.0852342822179279,0.1049131761949772,0.1245920701720266,0.0852342822179279
GAM,80,0.1214812932911407,0.0766935690027409,0.0990874311469408,0.1214812932911407,0.0766935690027409
GAM,85,0.179386609316347,0.0314151602663582,0.1054008847913526,0.179386609316347,0.0314151602663582
GAM,90,0.2042725652880553,0.0193003470046136,0.1117864561463345,0.2042725652880553,0.0193003470046136
GAM,95,0.1939416787684138,0.0305568629532579,0.1122492708608358,0.1939416787684138,0.0305568629532579
GAM,100,0.1457105432022504,0.0439513020871465,0.0948309226446984,0.1457105432022504,0.0439513020871465
